user_id,status_id,created_at,screen_name,text,source,display_text_width,reply_to_status_id,reply_to_user_id,reply_to_screen_name,is_quote,is_retweet,favorite_count,retweet_count,hashtags,symbols,urls_url,urls_t.co,urls_expanded_url,media_url,media_t.co,media_expanded_url,media_type,ext_media_url,ext_media_t.co,ext_media_expanded_url,ext_media_type,mentions_user_id,mentions_screen_name,lang,quoted_status_id,quoted_text,quoted_created_at,quoted_source,quoted_favorite_count,quoted_retweet_count,quoted_user_id,quoted_screen_name,quoted_name,quoted_followers_count,quoted_friends_count,quoted_statuses_count,quoted_location,quoted_description,quoted_verified,retweet_status_id,retweet_text,retweet_created_at,retweet_source,retweet_favorite_count,retweet_user_id,retweet_screen_name,retweet_name,retweet_followers_count,retweet_friends_count,retweet_statuses_count,retweet_location,retweet_description,retweet_verified,place_url,place_name,place_full_name,place_type,country,country_code,geo_coords,coords_coords,bbox_coords
521651938,1593664617179500544,2022-11-18T17:57:08Z,VLADIMIR_CERRON,@peru21noticias Golpismo de un golpeado?,Twitter for Android,24,1593639414391083011,832686254873468929,peru21noticias,FALSE,FALSE,42,6,,,,,,,,,,,,,,832686254873468929,peru21noticias,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1593663582226489345,2022-11-18T17:53:01Z,VLADIMIR_CERRON,"@elonmusk Improve your relationship with workers and improve your cyber security, better empathy with users by expanding the ability to correct posts free of charge.",Twitter for Android,155,1593659832552153093,44196397,elonmusk,FALSE,FALSE,2716,116,,,,,,,,,,,,,,44196397,elonmusk,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1593642510978617353,2022-11-18T16:29:17Z,VLADIMIR_CERRON,"@JefersonEstaci2 Si la empresa capitalista entra en crisis tiene sólo 2 caminos: reduce personal o busca nuevo mercado"" - Manifiesto Comunista.",Twitter for Android,126,1593622166406406150,1029096117579984896,JefersonEstaci2,FALSE,FALSE,11,0,,,,,,,,,,,,,,1029096117579984896,JefersonEstaci2,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1593283745922039811,2022-11-17T16:43:41Z,VLADIMIR_CERRON,"Desde el inicio de este gobierno, el CR controlado por la derecha forzó la Constitución  aprobando leyes anti democráticas e inconstitucionales como la Ley Anti referéndum, por ello es necesario y saludable la Cuestión de Confianza para restaurar el equilibrio de poderes.",Twitter for Android,140,,,,FALSE,TRUE,0,55,,,,,,,,,,,,,,1197500322924642304,AlexFloresPL,es,,,,,,,,,,,,,,,,1593268968525029378,"Desde el inicio de este gobierno, el CR controlado por la derecha forzó la Constitución  aprobando leyes anti democráticas e inconstitucionales como la Ley Anti referéndum, por ello es necesario y saludable la Cuestión de Confianza para restaurar el equilibrio de poderes.",2022-11-17T15:44:58Z,Twitter for iPhone,167,1197500322924642304,AlexFloresPL,Alex Flores,5997,182,243,"",Congresista de la República 2021-2026/ bancada @PeruLibre,FALSE,,,,,,,|,|,|||||||
521651938,1593275365870411776,2022-11-17T16:10:23Z,VLADIMIR_CERRON,"Caída la Ley 31399 antirreferéndum, el pueblo recobra la potestad para decidir por voluntad propia su destino. ¡Consulta popular para una nueva Constitución y una nueva patria! Apoyo total a la cuestión de confianza.",Twitter for Android,216,,,,FALSE,FALSE,621,119,,,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1593264020307451905,2022-11-17T15:25:18Z,VLADIMIR_CERRON,¡Que una ley sea legal y constitucional no quiere decir que no pueda derogarse! Basta de dictadura parlamentaria. https://t.co/fcwyrfvOLn,Twitter for Android,113,,,,TRUE,FALSE,302,50,,,twitter.com/SilvanaRoblesE…,https://t.co/fcwyrfvOLn,https://twitter.com/SilvanaRoblesE/status/1593254249751752710,,,,,,,,,,,es,1593254249751752710,"Saludo y respaldo la cuestión de confianza planteada por el Gobierno sobre el Proyecto de Ley para derogar la Ley 31399, Ley antireferéndum, por limitar el derecho constitucional a la participación ciudadana. Ninguna norma puede vulnerar los derechos del pueblo 🇵🇪 https://t.co/A4eh2Mztg4",2022-11-17T14:46:29Z,Twitter for iPhone,848,238,330659126,SilvanaRoblesE,Silvana Robles,8490,463,1501,"Junin, Peru",Congresista de la República 🇵🇪 por la región Junín 2021-2026. Política de izquierda. Cirujano Dentista 😁 ☀️,TRUE,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1593107256945815552,2022-11-17T05:02:23Z,VLADIMIR_CERRON,Gran lección del camarada Xi al presidente canadiense. https://t.co/fpJXRPGVzf,Twitter Web App,54,,,,TRUE,FALSE,168,26,,,twitter.com/RoiLopezRivas/…,https://t.co/fpJXRPGVzf,https://twitter.com/RoiLopezRivas/status/1592998470616768512,,,,,,,,,,,es,1592998470616768512,"El camarada Xi Jinping acusa directamente al presidente de Canadá de filtrar información a los medios sobre una reunión bilateral privada. Trudeau le pide tener un diálogo abierto y sincero y Xi le responde: ""primero hay que crear las condiciones"" 
 https://t.co/4EqIFEu9D1",2022-11-16T21:50:06Z,Twitter for iPhone,1376,934,505731001,RoiLopezRivas,Roi Lopez Rivas,93876,85005,225562,La Patria de Bolivar y Chávez ,Predije que aperturar sería verbo en 2021.,FALSE,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1593091886046392320,2022-11-17T04:01:18Z,VLADIMIR_CERRON,"Continua con su contumacia los golpistas fujimoristas; sigue su farsa, patraña, leguleyada, triquiñuela y su embuste. Prosiguen con sus trampas. Por eso, fracasan y fracasan; pero también continúa con su papelón de mamarrachos, hazmerreir, de bufones y Montoyas como en la OEA.",Twitter for Android,140,,,,FALSE,TRUE,0,32,,,,,,,,,,,,,,864487380530733058,PedroGalvanGam,es,,,,,,,,,,,,,,,,1593085127579443200,"Continua con su contumacia los golpistas fujimoristas; sigue su farsa, patraña, leguleyada, triquiñuela y su embuste. Prosiguen con sus trampas. Por eso, fracasan y fracasan; pero también continúa con su papelón de mamarrachos, hazmerreir, de bufones y Montoyas como en la OEA.",2022-11-17T03:34:27Z,Twitter Web App,61,864487380530733058,PedroGalvanGam,Pedro Galván,1856,343,7049,"","-Director de la revista digital Libertad
-Director del programa El Radical
-Analista político
-Consultor en temas de regionalización y descentralización",FALSE,,,,,,,|,|,|||||||
521651938,1593027566344237056,2022-11-16T23:45:43Z,VLADIMIR_CERRON,"No es que el procurador del Congreso sea tan malo como quieren presentarlo, sino que no se puede defender lo indefendible.",Twitter for Android,122,,,,FALSE,FALSE,321,59,,,,,,,,,,,,,,,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,|,|,|||||||
521651938,1593012004457185283,2022-11-16T22:43:53Z,VLADIMIR_CERRON,"Urge una COMISION DE LA VERDAD COVID. más de 200 mil fallecidos, 1ro muertes en el mundo, gastos de 150 mil millones, Oxigeno 99%, ocultan Compras en vacunas, falta de equipos y protección a profesionales de la salud, etc @Minsa_Peru @PedroCastilloTe @VLADIMIR_CERRON @PERU_LIBRE1 https://t.co/7dOdHA07Ut",Twitter for Android,139,,,,FALSE,TRUE,0,12,,,,,,,,,,,,,,1840069484,HugoSanchezPeru,es,,,,,,,,,,,,,,,,1593010182212440064,"Urge una COMISION DE LA VERDAD COVID. más de 200 mil fallecidos, 1ro muertes en el mundo, gastos de 150 mil millones, Oxigeno 99%, ocultan Compras en vacunas, falta de equipos y protección a profesionales de la salud, etc @Minsa_Peru @PedroCastilloTe @VLADIMIR_CERRON @PERU_LIBRE1 https://t.co/7dOdHA07Ut",2022-11-16T22:36:38Z,Twitter Web App,36,1840069484,HugoSanchezPeru,Hugo Sanchez PERU,245,289,973,"Lima, Peru","Lima, Perú",FALSE,,,,,,,|,|,|||||||
